,date,open,close,high,low,volume,code
0,2019-03-06,22.2,22.38,22.63,21.9,237817.0,300014
1,2019-03-07,22.71,23.28,24.6,22.71,374161.0,300014
2,2019-03-08,22.61,22.8,23.98,22.02,304814.0,300014
3,2019-03-11,23.01,25.0,25.0,23.0,379613.0,300014
4,2019-03-12,25.48,25.45,25.6,24.65,369432.0,300014
5,2019-03-13,25.0,26.05,27.2,24.86,367653.0,300014
6,2019-03-14,25.92,24.68,27.56,24.01,425212.0,300014
7,2019-03-15,24.91,24.47,25.14,24.01,253290.0,300014
8,2019-03-18,23.6,24.57,24.62,22.8,331819.0,300014
9,2019-03-19,24.33,24.0,24.44,23.88,178159.0,300014
10,2019-03-20,23.92,23.63,24.24,23.06,213669.0,300014
11,2019-03-21,23.8,24.2,24.7,23.52,265659.0,300014
12,2019-03-22,24.34,24.3,24.43,23.61,168873.0,300014
13,2019-03-25,23.8,23.6,24.29,23.35,215844.0,300014
14,2019-03-26,23.59,22.58,23.75,21.97,362141.0,300014
15,2019-03-27,22.66,22.83,23.27,22.4,178246.0,300014
16,2019-03-28,22.83,22.46,22.94,22.01,161337.0,300014
17,2019-03-29,22.63,24.38,24.5,22.63,320561.0,300014
18,2019-04-01,25.2,26.82,26.82,25.2,423682.0,300014
19,2019-04-02,28.0,28.56,29.16,27.42,467409.0,300014
20,2019-04-03,28.12,28.34,29.08,27.81,256258.0,300014
21,2019-04-04,28.2,28.11,29.04,27.9,235673.0,300014
22,2019-04-08,28.6,26.3,28.8,25.83,403580.0,300014
23,2019-04-09,26.48,26.49,27.23,26.1,215309.0,300014
24,2019-04-10,27.76,29.14,29.14,27.15,468549.0,300014
25,2019-04-11,29.97,28.49,30.2,28.21,284025.0,300014
26,2019-04-12,28.24,27.72,28.45,27.48,189767.0,300014
27,2019-04-15,28.25,26.59,28.39,26.56,240444.0,300014
28,2019-04-16,26.88,27.42,27.66,26.59,207899.0,300014
29,2019-04-17,27.9,29.5,29.72,27.8,347974.0,300014
30,2019-04-18,29.02,28.58,29.25,28.45,165453.0,300014
31,2019-04-19,28.63,28.61,28.99,27.82,143573.0,300014
32,2019-04-22,28.57,28.06,29.05,27.94,131459.0,300014
33,2019-04-23,28.11,27.8,28.35,27.31,108376.0,300014
34,2019-04-24,27.9,28.0,28.1,26.65,155544.0,300014
35,2019-04-25,27.78,27.0,28.0,26.82,121965.0,300014
